	active|dispossess|goods|minimal
අපරදිග	occident|occidental|western
තනිකඩයා	bachelor
පුවළ	huge|large
සෙල	rock
අඤ්ජනය	collyrium|cosmetic|ointment
ප්‍රස්තර	sheets|strata
අත්‍යෂ්ණ	scorching
වරදවන්නා	bungler
කෝටරය	sinus
කැපිලීටිය	capillitium
වාවක	verbal
විසඥ	unconscious
පිටිකාව	papilla
ඉලාත	besom
හූකටිනවා	spin
ගුණකථාව	tribute
අන්තික	marginal
ආශුමානය	tacheometer
සංදීප්තිධර	luminiferous
පෙහෙණීම	stoking
ප්‍රස්තාර	graphic|graphs
මූකතාව	mutism
කපෝලාස්ථිය	cheekbone
මූලධාතු	element|elements
සිතමතයේ	stubbornly
සමාව	apology|excuse|grace|pardon
තාරකාමානය	astrometer
තඹරවනය	pond
මිම්ම	calibre|dimension|gauge|guide|level|measure|measurement|norm|yard-stick|yardstick
මධ්‍යභාගය	core
ස්නසාව	neuron|neurone
ණිහිණිය	niece
චර්මීය	cutaneous|dermal
බෙල්කරොස්	belcherose
ද්විස්වාභාවවාදියෝ	dyophsites
විබල්‍යතාව	disability
ගැබ්වූ	underlying
ලිකොප්සිඩය	lycopsid
ශික්ෂාචර්යාව	mendicity
ප්‍රතිච්ඡාදනය	masking
හැඩගැන්වීම	dressing
සංඛ්‍යාංක	digital|numerals
කශේරුකාව	backbone|spine|vertebra
පැසිපොව්වා	marsupialia|marsupials
සංඥෙයත්වය	cognizance
පීලිරිය	locomotive
විද්‍යාමානත්වය	existence
ආක්‍රමණික	aggressive
පාණිග්‍රහණය	marriage
දුනුදිය	bow-string|bowstring|string
සෝබාවෙන්තොර	charmless
මුකලාන	forest
පරාගිත	pollinated
කවච	shells
පොට්ටනිකාරයා	bagman|hawker|huckster
කොරමරුව	sieve
ආනිශංසය	merit
ටෙල්පරය	telfer|telpher
කැටිවීම	congelation|conglomeration
අනුක්‍රමණ	running
අකාරාදිකරණය	alphabetising
බහිරාස්‍රුතිය	exosmosis
සීමාතික්‍රාන්ත	exorbitant
මුදවනවා	coagulate|congeal|curdle|discharge|freeze|solidify
යෝජකය	applicator|copula
ප්‍රාග්දර්ශනය	prototype
බහුලේඛකයා	prolific-writer
ස්වාමිත්වය	domain|lordship|ownership|possession
පතුළ	ground
වෙස්ට්‍රසොල්	westrosol
බැළකරු	servant
කැළඹීම	agitation|commotion|disturbance
න්‍යෂ්ටිභක්ෂණය	karyophagy
සජස්වී	vigorous
පුනර්ජන්‍යතාව	reproducibility
ඩොනාටියානුවෝ	donatists
අත්‍යලංකෘත	luxuriant
තුවාලවීම	soreness
සුතනයෝ	offspring
අසංරක්ෂණත්වය	anaphylaxis
හුං	oh
ගර්තය	alveole|alveolus|lacuna
අනීතිකරය	misfeasance
විෂහරණය	detoxication
කැත	clumping|clumpy|clumsy|awesome|awkward|bizarre|brazen|dirty|disgraceful|filthy|foul|hoggish|impure|indecent|loathsome|messy|nasty|obscene|ribald|shabby|slatternly|sluttish|sordid|stingy|swinish|ugly|unclean|uncomely|unlovely|unsavoury|unskilled
උභයාර්ථ	ambiguous
නරක්වීම	corruption|deterioration
අස්ථීඡේදනය	osteotomy
සන්තතික	continuous
යටතේ	sub|under
පෙරවිකිණීම	pre-emption
පහලින්	below
උෂ්ණත්වය	temperature
විකෘතව	awry
පිවිස්න	inlet
නිගන්ඨයා	gymnosophist|jain
ජීවසහතාව	biocenesis|biocoenesis
හෙමොපිලියාව	haemophilia
පාචක	digestive
තුත්ත	crucible
අනායත්ත	independent
උපප්‍රාන්තරය	sub-interval|subinterval
කාපලාන්තර	intercarpellary
චලවර්ණක	metachromatic
සෘෂ්ට්‍යංගය	gonad
නිර්ධාරකය	determinant
නොමඟට	awry
ක්ලෝරයනය	chlorion
පරීරක්ෂණය	preservation
පසුම්බිය	pocket|purse|wallet
පිලොයිඩය	phylloid
මහාධමනී	aortic
පරාධීන	bond|dependant|dependent|subject
බත	meal|rice
හෙක්සඩ්‍රඩ්රෝන්	hexahedron
බැඳුම	attachment|bond|grip
ද්‍රුත	allegro|fast|quick
වියදම්	charges|expenditure|expenses
කන්සක	cheek
තෙඉත්ත	triplet
කාබනේට්	carbonate
සංකේතුක	strobilaceous|strobilate
බිංදුව	cypher|zero
ගුණනය	multiplication
පරුමක	foremost
එළනවා	drop|spread
ලිපිකාරිනිය	clerkess
සතුරු	adverse|antagonistic|anti|counter|hostile|inimical|malign|malignant|rival|unfavorable
මාතු	mother
මළමුත්‍ර	excreta
කේශාකර්ෂණය	capillarity
විලුම	heel
අක්ෂර	character
අදීප්තත්වය	tenebrism
මැලිකම	sluggishness
හන්	adorned|concealed|dressed|mark|signal
ලුහුඬු	concise|laconic|short|succinct|summary
සමනත්තර	next
ප්‍රථමතාව	primacy
ලෝමහරණය	depilatory
කෙහෙල්	plantain
කොටනියනය	quaternion
කහඹිලියාව	nervousness|restlessness
උදේකෑම	breakfast
ආනර්ථක්‍ය	lacunary
පුද්ගලීකරණය	individualize|personification
ලෝල	geedy|shaky
ෂඩ්බීජපත්‍රී	hexacotylous
සම්භාර	collection|gathering|holdings
සමකාලවර්තී	isochronous
යුෂ්මතා	you
කාදැත්ත	peg
සෙන්ටිග්‍රේඩ්	centigrade
බහිර්වාසී	ectophytic
රූකඩය	automation|automaton|effigy|marionette|poppet|puppet
මන්දෑ	why
මෝඩකම්	follies
ලීවෝ	laevo|levo
නිරුපමේය	incomparable
කොනිස	twinge
ශල්කමය	squamaceous|squamate|squamose|squamous
අහිරි	shameless
අරූපී	formless|immaterial|incorporeal
සම්මිතිනෛත්‍රිය	emmetropia
සිහිවිකලබව	amentia|insanity
පද්‍යුය	poetry
නියෝජීතයා	representative
හින්දුස්තානි	hindustani
සමාකීර්ණ	frequented
අයනීකරණය	ionisation|ionization
ස්පිරිල්ලමය	spirilla
විචල්‍යතාව	variability|variance
සලුමුවා	barking-deer|red-deer
පාරිතෝෂය	reward
පිළිවාත්තුව	recast
වාෂ්පීමානය	evaporimeter
බණ	preaching
විද්‍යුතය	electricity
ගෙවන	consuming
කපන්නා	cutter
අර්ඝ	baluable
ගෝ	cattle|cow
එකිමොසයිය	ecchymoses
අවසේධිත	inhibited
හිමායනය	freezing
විශ්ලේෂණාත්මක	analytical
අකටයුතු	improper|inactive|inoperative|unjust
ත්‍රිතානය	tritone
සමචක්‍රය	homocycle
නූල්මල	hank
ඉලිප්සීය	elliptic|elliptical
කුත්සිත	mawkish|odious
සම්ප්‍රතිඥාකරු	stipulator
විශ්ලේෂතාව	analyticity
රඹ	orange|plantain
ශායනිකය	clinic
පරිදානය	reward
පැනීම	bound|jump|skipping|spring|tripping
අතීසාරය	diarrhoea|dysentery|trot
සැන්ඩ්විච්	sandwich
අඩුවැඩිවීම	fluctuation
ශ්‍රවණේන්ද්‍රිය	audition|ear
පැළෑටිය	herb|plant
සාකල්‍යීකරණය	generalisation
වූල්	wool
සෙල්වා	selva
දන්ඩනය	penalty
චාටකයා	embezzler
ප්‍රතිඑන්සයිම	anti-enzyme|antienzyme
විජාති	alien|forigner
වඳිනවා	adore|worship
ස්වාපක	gypnotic|hypnotic
මුරණ්ඩුකම	contrariness|contumacy|cussedness|determination|impenitance|mulishness|obduracy|recalcitrance|stubbornness|tenacity
සමගණ	congeneric
සමානුරූපණය	conformation
මිලකරුවා	appraiser
කාචමය	vitreous
ලේ	blood
ප්‍රතිකර්ම	redress
කාලකණ්ණිකම	misery
සංක්ෂිප්තභාවය	brevity
මැංගනින්	manganin
ඒකලිත	isolate
අවුස්සන	provocative
ආවිලතාමානය	nephelometer
කිරිපට්ටිය	dairy
ප්‍රතිදේශීයනය	repartriation
ඝනපටය	stereome
හොරකඩකාරයා	blackmarketeer
අපිජනනය	epigenesis
සමරේණුකතාව	homoeandry
පොදවැස්ස	drizzle
වාසිමත්	lucrative
දජුවැට	stockade
ඉඳිකඩ	stile
බඹ	brahmin|fathom
චාරිත්‍රානුකූල	ceremonial|customary
ළිහිණි	bird
සෝදුව	correction
ඊම	return
ත්‍රිමානස්වයංරේඛය	stereoautograph
කෘත්‍ය	function
නොකිලිටි	clean|pristine|untarnished|virginal
හිණ	stairs
කණිකාධර	granuliferous
ප්‍රාශ්නික	adjudicator
නිඹුල්	twin
සැලෙනවා	shake|shiver|tremble|vibrate
ත්‍රාණනය	salvage
පරිවේෂණීය	circumstantial
පරතන්ත්‍ර	defendent
සයිරම	siren|siten
අනුග්‍රහය	accommodation|aegis|aggrace|assistance|auspice|concession|courtesy|favour|grace|help|mercy|patronage|support|sympathy
අකුරු	letters
ඉදිමෙන	turgescent
අනුන්‍යාසය	submatrix
ප්‍රතෝකායනය	proliferation
නිරවශිෂ්ට	non-residue
ඇදකම	crookedness|wryness
නිරේකජ	non-linear
මංකොල්ලකෑම	dacoity
උපාර්ජනය	acquisition
දෝෂාරෝපණිය	culpable
ක්ලෝරාෆෝම්	chloroform
ශ්වාසනාලිකාව	bronchus
ඔක්සිමල්	oxymel
නුවර්	nuer
පොළිය	interest
සමීක්ෂණය	censorship|conspectus|investigation|observation|scrutiny|survey
අර්ධසෛලය	semicell
ප්‍රත්‍යාසාරී	recidivist
නිර්ව්‍ය	non-viable
කුහරගඩොල	air-brick
අවසිහිය	amnesia
අවේක්ෂකත්වය	curatorship
නියවීම	grin|smirk
කියමන	advice|allegation|assertion|expression|proclamation|say|saying|statement|utterance
ඌරන්ගේ	porcine
වර්ගඝාතය	genocide
ඇවුළුම්කටුව	barb
යථාර්ථයෝ	reals
බැහැරි	external|extrinsic
ළතෙත්	kind|soft
එන්නතය	vaccine
කාපොබීජාණුව	carpogonidium|carpospore
චෞරභාෂාව	argot
ස්පිනෝසියානුවාදය	spinozism
අධශ්ජඨරය	hypogastrium
සමගිසන්ධානය	concordat
සංතාරය	constellation
පැටිකිරිය	pedigree
තෘතීමකය	tertile
තුළ	a|between|for|in|inside|intra|over|within
ව්‍යාභිචාරය	misconduct
පාසැල	school
නාවනවා	bath
ස්වාධිකාරධාරී	patentee
ජාතිවාදය	nationalism|racialism
නිවර්තන	intertropic|tropic|tropical|tropics
ද්විවිධ	dual|duplicate
ලේඛනශෛලිය	diction|penmanship
ළතැවෙනවා	regret|repent
අසමාර්වදිශ	anisotropic
නාසේන්	narceine
ඉපිලෙනවා	float
දූරදර්ශනය	vision
කැටායනය	cathion|cation|kation
වකුටුව	awry|crookedly
පැතිලීම	bottoming
වර්ණරේඛාව	vein
සැදෑ	devotion
සැඟවෙනවා	bury|hide
ධනුශ්ශිල්පය	archery
ප්‍රචාරකය	advertisement|propagule|propagulum
පටුබුද්ධික	insulation
දික්සිදුර	slit
රැවුල්කාරයා	beaver
හංකිති	tickle
විජ්ජාකාරයා	conjurer|conjuror|illusionist|jugglar|juggler|magician
දුස්සමායෝජනය	maladjustment
මීවදය	alveary|apiary|beehive|comb|hive
හාසානුකරණය	travesty
ගිල්වනලද	inklaid
අසනීපකාරයා	patient
ප්‍රයෝග	gimmicks
වෘත්තිකයා	careerist|practitioner|professional
සෙම්	phlegm|sputa
සද්ධා	devotion|piety
පොතුදැල්ලා	cuttle-fish
නණ්ඩුව	arista|awn
මනමෝහන	glamourous
අවාරණීය	inevitable
හේලියෝස්කෝප්	helioscope
ආචාරධර්මී	ethical
මවාගත්	make-believe
ජම්ම	endemic
මහදුරු	caraway|fennel
ඩසිනවා	bite
ඉඳුරු	east
මුවදොර	embouchure|river-mouth
ස්වාධීනත්වය	autonomy|freedom|independence
සෙසු	balance|other
පැළඳවීම	adornment
සංස්කෘතිකරණය	acculturation
අපහසුව	ailment|bother|discomfort|inconvenience|unease
උභයතා	reciprocal
ගස්ලබු	papaw|papaya
සෝදාව	scour|washout
රොළු	crude|hard
අන්තර්හාසය	chuckle
මළප්‍රේතයා	gremlin
භාර්යාව	spouse|wife
හසියෙන්දාව	hacienda
පරායත්තතාව	dependence|dependency
හවස	evening
ඥාත්‍යනුග්‍රහය	nepotism
උද්ධච්චභාවය	hauteur
සමාජමිතිය	sociometry
වෘත්තාකාරය	rondel
යථාවිධ	normal
අවකාශය	clearence|area|convenience|conveniency|leizure|niche|opportunity|permission|respite|room|scope|sky|space|vacancy|void|spacer
තනිතනි	individual
අත්වැස්ම	glove|muff
නියතය	constant
ඝන්ටාතරංගය	carillon
ගණිකාරක්ෂකයා	souteneur
හෝර්ඩයින්	hordein
ගල්වල	quarry
පෙනිසිලින්	penicillin
පරාස්මෘතිය	paramnesia
ගන්ධයක්	niff
දෑතුර	in-between|interval
උච්චභීතිකාව	acrophobia
මට	flat|smooth
ගෝලමානය	spherometer
පෝෂය	fodder
මස්තිෂ්කය	brain|cerebellum|cerebral|cerebrum
සුසංහත	compact
සරියලය	oriel
චුර්ණාපගය	calcifuge|calciphobe
දණ්ඩාකාර	baculiform
වානප්‍රස්ථ	hermit|hermitage
ආර්මිනියානු	armenian
සංජෛවය	symbiosis
සෑ	stupa
අර්පණලාභියා	offeree
අන්තර්ජන්‍ය	endogeneous|endogenetic|endogenic|endogenous
ඇලොඩියල	allodial
රළුබව	huskiness
හාපූනය	harpoon
වැඩසටහන	programme|schedule
ඊසිඩියෝලය	aecidiolum
අලංකරණය	decoration|embellishment|illumination|ornamentation
නිරාපද	safety
විමලනය	defloration
ප්‍රජතු	anthracite
ක්ලයිඩනොග්‍රාපය	klydonograph
කරකැවීම	circumvolution|cranking|revolution|rotation|whirring
වදේකක	monad
කුරුමිණියා	beetle|scarab
නුහුරු	awkward|cack-handed|inept|stiff|unfamiliar
අව්‍යාජය	genuine
ශ්ලේෂ්මාව	asthma
වූෂකය	aspirator
පතුරුවන	communicative
නාමාභිධානකරණය	designatum
මිතුරුදම	friendship
පෞරාණිකය	archaism
කෞටිකරූපණය	pretence|pretend
උද්ගමනය	ascent|induction
නීත්‍යනුකූලව	legally
ප්‍රසාදිත	refined
ප්‍රත්‍යක්ෂවාදියා	positivist
කණපිට	wrong-side
ඉබියතුර	padlock
විනිශ්චය	adjudication|arbitration|judgement|judgment|trial
අනන්වේෂණීය	improbative
මේහ	diabetic
පාපමුක්තිය	absolution
වලයය	annulus|ring
මුස්පේන්තු	unfortunate
ඇවටිල්ල	entreaty|request
අනුලොම	consecutive
උද්ධාරය	citation|deduction
ප්‍රතිසම්ප්‍රේෂණය	retransmission
පිරිසරනය	sweep
නීලවර්ණය	blue
මාතිකාව	module|motif
අභිවාහී	advective|afferent
හංසයා	swan
සන්තකය	possession
බ්‍රමකය	rotor
වාමාංශික	leftist
නිස්‍රාවය	emanation
උත්ප්‍රේරක	catalytic
බන්දනය	binding|bond|charm
ශාලුරචර්මය	phrynoderma
රීත්‍යනුකූලව	technically
ප්‍රතිවාෂ්පීකරණය	re-evaporation
ස්වයංප්‍රතිපායනය	autoregression
අස්විටිකතාව	amorphism
ධාරිත්‍රකය	capacitor|condenser|condensor
ලිහිටීම	skidding
සත්‍යභාවය	substantiality
අලජ්ජී	gluttonous|immodest|shameless
ඒකකෝෂ්ඨීක	elocular|unilocular
බැවුන්	concentration
රජනි	night|tumeric
ඌ	he|it|oh
අයදුම්කරුවා	applicant|examinee
ටෙරිඩොස්පෙර්මිය	pteridospermic|pteridospermous
අස්ථීභවනය	ossification
දියනයා	water-snake
කක්කුසිය	lavatory|toilet
කාව්‍යමය	poetic|poetical
ආඵලීන	pomaceous
මවුකම	motherhood
සමන්ගිර	sripada
දුරදක්නය	telescope
සේවාදායක	cliental
අයුත්ත	grievance|wrong
විතුණ්ඩ	erostrate
රම්‍ය	artistic|lovely|pleasant|pretty
අඩවිපරිසයිනය	haversine
වක්කදාහය	nephritis
ශ්ලේෂ්මල	mucous|phlegm
වටනවා	swivel
පෝලය	pole
කිවි	poet|venus
භාරකරු	caretaker|guardian|guardin|keeper|trustee
සළු	garment
විශ්වදේශ	cosmopolitan
නෑදෑයා	kinsman|relation
කනේපහර	slap
අෂ්ටබීජාණුක	octosporous
උපදංශය	gonorrhea|gonorrhoea|syphilis
ගණකාධිකාරී	accountant
හම	hide|skin
අතිප්ලාස්මීයතාව	hyperplasia
රූප	figure|form
යථාතථ්‍ය	precise|precision
නවත්නවා	abode
අනිශ්වතතාව	contingency
දෝෂශුද්ධිය	exculpation
ආරක්ෂණවාදියා	protectionist
ස්වගෘහී	autoecious
තපෝවනය	hermitage
නුබමිණ	sun
අපභාෂාව	argot|slang
පාරිභෝගික	consumable
හෙඩිම	header|heading
උපග්‍රහණය	postulate|subsumption
අමෛත්‍රී	unfriendly|unkind
ඇනල්සයිම්	analcime
පෙළේගුරු	prompter
පිරිස්	personnel
වශීකරණවා	hypnotize
හුදැල්ල	hoe|mamoty
සැමේරියම්	samarium
අංගාණිය	shambles
රොඩොපිල්	rhodophyll
විභ්‍රාන්තකය	deliriant
නාලස්ථූණය	siphonostele
ප්‍රතිහෘදාකාර	obcordate|obcordiform
ගණ්ඩමාලය	goitre
වැකිකඩ	phrase
වයිකිංවරු	viking
පැන්නුම්	spill
ස්වදර්ශය	ideotype|idiotype
විපර්ය්‍යාසය	change
විද්වතා	academician|scholar
විමෝචකතාව	emissivity
අධිචෝදකයා	indictor
ව්‍යංග්‍ය	implicit|implied
වෙදකම	medicine|remedy|treatment
හයිඩ්‍රාකාර	hydroid
අතථ්‍ය	unreal|virtual
ටැන්ජනය	tan|tangent
අධිහිත	equitant
සාරමය	concentrated
වායුප්ලවාංග	aeroplankton
නිර්මාණක	creative
වේදනානාශකය	sedative
ගර්භනාශක	contraceptive
ශුක්‍ර	semen|venus
සිවිගේ	palankeen|palanquin
සසිනවා	pare|peel
ධනෝපායන	earning
අධරය	hypostomium|labium
අධිනීතිඥවරයා	advocate|barrister
පාරට්ටුව	boast|boasting|puff|puffery|vaunt
පහයනවා	clear|define
නින්දාලාපය	lampoon|reproach
පිළිදැගුම්	foster
හි	astonishment|at|emphasis|on
සරූප	news|suitable|word
පුද්ගලප්‍රමාණවාදය	personalism
යාමය	time
නවස්තන්‍යය	colostrum
ස්වාමිභක්තිය	fealty
ඒකාකිය	solo
අත්පිස්නාව	napkin|serviette
වර්ණදේහාංශය	chromatid
විස්තරණමානය	dilatometer
ඇහිඳිනවා	gather|pick
ලග්නය	ascendent|sign
සර්වාත්මවාදය	panpneumatism
ලුහුබඳිනවා	chase|course|follow|persue|pursue
රටඉඳි	date|dates
සම්පුර්ණ	entire
පෙළගැස්සීම	line-up
ඉස්සොරි	dandruff
පාතෙනොගොනීඩිය	parthenogonidium
බබලනවා	beam
පාථෙය්‍ය	baggage
වටනා	valuable
අහවර	completion|end|termination
අධීශ්වරයා	suzerain
කලය	pitcher
සහහොත්	accumbent
එලැවුම	drive
පූර්වගය	precursor
පාදශංඛල	foot-fetters
දුබල	chinless|defeasible|feeble|powerless|weak|wobbly
වාස්තවීකරණවාදය	objectivism
පරිමන්දකය	damper
උපයෝගික	pragmatic
මංජු	sweet
මාතෘනාමෝද්ගත	metronymic
පළනවා	cleave|hew|rend|rip|rive|split
නීතිවිද්‍යාව	jurisprudence
සංස්ථායීත්වය	consistency
රෝගයක්	arteriosclerosis|quadripilegia
බුද්ධත්වය	enlightenment
වින්නඹුවරිය	midwife
හස්වාදය	hussism
විෂභරණය	antidote
තුල්‍යයා	equal|peer
වැරය	cogency
ඉවත්ව	past
අනුසාරිකයා	conformist
මැමතා	mamoth
දහසය	sixteen
යන්ත්‍රකාරයා	machinist
පැකය	peck
පුස්කර	borax
පවිටු	blatant|sinful|sinfull|wicked
සත්කීර්තිමත්	illustrious
මුළුල්ල	all|ensamble|entirety|summation
විමසිලිමත්	nosy
අලෝපනීය	indefeasible
බෝධනීය	intelligible
ශක්තිසම්පන්න	potential|stalwart
අසංස්කෘතිය	paganism
අපානය	anus
විද්‍රධිය	carbuncle
සමරූපතාව	homoeomorphy|homomorphy|isomorphism|likeness|similarity|similitude|uniformity
ග්ලැසියරය	glacier
දුරප්‍රකාශමානය	telephotometer
ලතා	creeper|woman
උ	above|against|up
මැළිඅඹනවා	yawn
න්‍යායවාදියා	theoretician|theorist
දිනමිණ	sun
රෝඹුව	hair
ආන්තික	marginal
මුදල්පත	note
කිපුම	temper
දොරකඩ	entrance
ලුප්ත	truncate|truncated
ආනන්දී	jocund
උදාරම්	arogant|contemptuous|imperious|proud|scornful
රතිඤ්ඤ	fire-cracker
විරුද්ධකරු	adversary|opponent
වර්ගීකරණය	classfication|classification|systematics|taxinomy|taxonomy
නඛර	chelate
යාත්‍රිකයා	navigator
කාබියුරිත	carburetted
සංකුවත	compressed|contracted
පරිය	peridial
යතුරුණ	ironpan
අනර්ථකර	baneful|ruinous
ප්‍රමන්ත්‍රණ්‍ය	negotiation
ඇසෝඉමයිඩ්	azoimide
ඉදැලිස	superlattice
ලිග්නීහරණය	delignification
ලාලිත	lulled
සප්තසංයුජ	septavalent
කුට්ටනියා	procurer
නොමනා	bad|fulsome|mistaken|patchy|questionable|unsuitable|wrong
සභාවාරය	session|sitting
වාය්වංශනය	atmolysis
ව්‍යවර්තන	averse
වෙසඟන	harlot|prostitute
ඒකනාසිකය	monorhinic
තටාකය	dock|lake|pond
චරිතායනය	characterization
සාපරාධී	criminal|culpable|unrighteous
වක්‍රිම	oblique
සමායනය	break-even
හෙලනිකවාදය	hellenism
නීතිවේදියා	advocate|attorney|attorney-at-law|jurist|lawyer
ප්‍රකටවම	markedly
සංවහනය	convection
ග්‍රෝසියුලීන්	grossuline
වැසි	rain|resident
ප්‍රතිඋත්තරය	replication
සයනේට්	cyanate
පලාවන්	green
අභ්‍යක්ෂ	adaxial
මහා	big|chief|crass|general|great|huge|macro|main|major|mega
බහිශ්චර්මය	exodermis
වාචකය	saying|speech|statement|utterance
නොගැඹුරු	fleet|shallow|skin-deep|superficial|unbiassed
නක්ෂත්‍රාචාර්ය	astrologer
ප්‍රරෝහණය	germination
බ්‍රෝමීකෘත	bromated
ටීනියා	taenia|tinea
අන්තකය	intestine
දර්ශරේඛය	alidade
රන්පවුම	sovereign
සිද්ධාන්ත	dicta|sophia|theoritical
උත්තේජක	stimuli
මෛථුනය	coition|coitus|copulation|sodamy|venery
වාලුකාමය	arenaceous
උපසභාපති	vice-chirman|vice-president
දුරප්‍රතිමාරේඛය	teleiconography
උධෘතය	abstract|extract
සමදූර	equidistant
රාගික	amative|lustful
කෙළෙහිගුණ	gratitude
තෙපුල	saying|utterance|word
භාවප්‍රකෝපකාරී	sensational
අහා	ah|aha
හඳ	moon
දහරුව	streamer
මාන්දිරා	popliteal
පිදුරුවන්	stramineous
නූගත්කම	ignorance
කැටිකරය	coagulant
ස්පර්ශකතාව	tangency
පාලනීය	controllable
දේශානුරාගය	nationalism|patriotism
ශතෘයුකයා	centenarian
සීනි	sugar
පදය	expression|term|verse|vocable|word
පින්වත්	dear|lucky
කේශතලස්	trichothallic
නිහැරැඟිය	pantomine
සන්වවු	isinglass
සමුහවාසී	gregarious
අභිවෘත්තිය	career
ජීවාජ්ජනනය	biogenesis
දේශසන්ධිය	isthmus
රෙජිස්ටාර්	registrar
සෘණමුක්තිය	acquittance
නෞතලීය	keeled
ඇඩ්‍රිනලින්	adrenalin
සිකදහම	sikhism
ප්‍රපංචවේදය	phenomenology
සිලුටු	delicate|glossy|soft|tender
සම්පදාර්ථක	syncategorematic
ඇස්බැස්ටෝස්	asbestos
බහුගුණ	multiple|polyploid
පාවීම	float
පෙලනීය	felony
වෘන්තික	petiolular
ජලජ	aquatic|water-born
සැසැඳීම	comparing|reconciliation
නීචයා	abject|black-guard|cad|cur|pariah|poltroon|rascal|reptile|ribald|skunk|sneak|toad|wretch
අස්කජනක	ascogenous
පයිටොට්‍රෝනය	phytotron
සයිනොසිස්	cyanosis
තාරකාව	star
අයිකිනයිට්	aikinite
ප්‍රතිවිමතික	antidissident
ප්‍රාතතිය	strain|stress
ගැබ්බරවීම	pregnancy
විශේෂප්‍රාප්තීය	speciation
හස්න	message
පීරීම	combing
කුල්ටූර්ක්‍රපසය	kulturkresis
බ්‍රෝක්‍රම	brockram
මිනිසා	cove|man
බිහිකුරු	porect
හික්හල	college
අතිධ්වානික	super-acoustic|ultrasonic
දොරටුපාලිකාව	janitress
පූර්ණතාව	completeness|pleroma
වැසිපල	rainfall
ශ්‍රේණිකයා	guildsman
නොතේරූ	unscreened
කෘකාටය	isthmus
පූර්වෝක්ත	aforementioned|aforesaid|foresald
අප්පොච්ව	pater
ශක්තතාව	competence|competency|toughness
යකින්න	she-demon|she-devil
හලළනවා	mix|stir
රැපියා	raphia
වෛෂම්‍යය	disparity
නිවෙසුම	homing
කොලම්බේට්	columbate
අවහිරතාව	impediment
කාටලය	cartel
අපිවිකර්ෂය	epispadias
උද්දීප්ත	effulgent
යටි	below|bottom|down|lower|ventral
චිත්‍රසදෘශ්‍ය	picturesque
ලැජ්ජාවෙන්	shyly
අශක්නුතාව	incapacity
පීඩමානය	piezometer
ව්‍යවසායකත්වය	entrepreneurship
බෝවෙන	infectious|taking
උද්ධ්වනිය	supersonics
මූලරූපය	prototype
මසෘණතාව	mellowness
මුත්‍රවාහිනිය	ureter
කීර්තිනාමය	cachet|goodwill
දියලිහිණියා	swallow
ඉල්ලුවා	bade|besought
සමායෝජන	combinatorial|combinatory
අඛණ්ඩව	continuously
නෛත්‍යක	routine
පුද්ගලිකරණය	individualisation
එපිට	away|beyond|distant|far|out|remote|ulterior
තැඹිලි	king-coconut
කල්පනික	theoretical
ආතන්‍ය	tensile
ධ්‍රැවපදය	refrain
බීජාණුශාකය	sporogone|sporophyte|syncaryophyte
බහුකම්පකය	multivibrator
අසමමිතිය	asymetry|asymmetry
සමවාය	cohesion|group|organic|union
විභාගය	analysis|enquiry|examination|inquiry|investigation|partition|test
දිග්භාගය	direction|quarter
සුකුරුත්තං	gimmicks
නොරුස්සන	irritable
විශ්වාසනීයත්වය	credibility
චූර්ණරූහ	calcicole
කුමන්ත්‍රණකාරයා	conspirator
සිවුබිඩි	quad
තැවීම	fomentation|sorrow
පිනනවා	please
අණ්ඩාණුධානිධරය	archigoniophore
ව්‍යාඛ්‍යාව	annotation|commentary
ඇගැයුම්කරු	valuer
කැඩුම	breach|crack|fissure|fracture
ගාඩය	scirrhus
වැඩිපුර	accessory|excess|extra|further|other|over|plus|superfiuous|than
අතිසූක්ෂ්ම	ethereal
විවිධප්‍රසංගය	concert
බහුපාර්ශ්වීය	multilateral
මෘතෝත්ථානය	resurrection
දන්දීම	alms-giving
අයදුම	application|petition|request|suit
අනපූර්ව	non-singular
බීමහල	bar
මැනෝරය	manor
සුදු	hoary|pure|white
ඩයිසැකරයිඩ්	disaccharide
ලවංග	clove
නොපැහැදිලි	abstruse|clouded|cloudy|ambiguous|blurred|dim|dull|foggy|hazy|indistinct|intangible|misty|nebulous|obscure|shadowy|smoky|twilight|vague
ස්ඛලිත	erroneous|mistaken
නිසලනය	steady
මනස්සෘෂ්ටිය	fantasm|fantasy|phantasy
මුඛරි	clamant|fluent
වීර්ය	bravery|courage|valour
ජනනාටකය	folkplay
වාසරතිමිරය	hemeralopia
අපවාදී	scandalous
ඔබ්බනවා	chase|embed|imbed|inlay
විඩාපත්	tired
ශ්ලේෂ්ම	phlegm
විසිරීම	disperation|dispersal|dispersion|dissemination
ඒකවර්ණකරය	monochromator|monochromater
ලම්බාවර්තනය	diatropism
සුසරකය	tuner
ශංඛවිද්‍යාව	conchology
මැදීම	ironing
ආත්මකේන්ද්‍රික	ego-centric
බලුකූඩුව	kennel
කටාරය	reservoir
සම්බන්ධිත	attachable|attached|correlated
දක්ෂීණස්ථාපනය	dextroposition
ප්‍රමෝදය	beatitude|bliss|ecstasy|elation|enchanted|enthralment|entrancement|exaltation|exhilaration|exultation|gaiety|glee|joy|mirth
වාක්‍රීතිය	legorrhoa|legorrhoea
මර්යාදාව	limit|shore
නීතිමජුල්ල	bar
